出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/01/03","113","3","4569","六方科-KY","1790836.00","1352799.00","3143635.00","231345.00","112559.00","343904.00","310000.00","--","1946655.00","505844.00","35237.00","--","2797736.00","--","--","1995.00","2799731.00","0.00","0.00","0.00","90.25"
"114/01/03","113","3","4571","鈞興-KY","2608249.00","1098045.00","3706294.00","855774.00","27499.00","883273.00","530171.00","--","1159292.00","1263544.00","-21754.00","-108232.00","2823021.00","--","--","--","2823021.00","--","0.00","1301000.00","54.59"
"114/01/03","113","3","4572","駐龍","1960641.00","939760.00","2900401.00","171303.00","707869.00","879172.00","390000.00","--","109648.00","1521581.00","--","--","2021229.00","--","--","--","2021229.00","0.00","0.00","0.00","51.83"
"114/01/03","113","3","4576","大銀微系統","2176034.00","4214564.00","6390598.00","1135527.00","1189648.00","2325175.00","1198018.00","--","1578181.00","1029027.00","-5081.00","--","3800145.00","--","--","265278.00","4065423.00","--","0.00","0.00","31.72"
"114/01/03","113","3","4581","光隆精密-KY","1037330.00","709443.00","1746773.00","453404.00","187435.00","640839.00","338990.00","--","334354.00","417262.00","13510.00","0.00","1104116.00","--","--","1818.00","1105934.00","--","0.00","0.00","32.57"
"114/01/03","113","3","4583","台灣精銳","6738735.00","4150523.00","10889258.00","391160.00","533771.00","924931.00","801714.00","--","1203942.00","7958671.00","0.00","--","9964327.00","--","--","--","9964327.00","--","0.00","0.00","124.29"
"114/01/03","113","3","4588","玖鼎電力","912676.00","1004577.00","1917253.00","434299.00","625896.00","1060195.00","428570.00","--","272928.00","155560.00","--","--","--","--","--","--","857058.00","0.00","0.00","0.00","20.00"
"114/01/03","113","3","4720","德淵","2015993.00","1227700.00","3243693.00","1298360.00","231421.00","1529781.00","1109232.00","--","110019.00","415498.00","-55481.00","--","1579268.00","--","--","134644.00","1713912.00","--","0.00","0.00","14.80"
"114/01/03","113","3","4722","國精化","2410162.00","2878921.00","5289083.00","976638.00","1316097.00","2292735.00","1000092.00","--","427209.00","1562645.00","6402.00","--","2996348.00","--","--","--","2996348.00","0.00","0.00","0.00","29.96"
"114/01/03","113","3","4736","泰博","7773448.00","4787582.00","12561030.00","3130788.00","323357.00","3454145.00","953744.00","--","1963641.00","5829195.00","-60384.00","--","8686196.00","--","--","420689.00","9106885.00","--","0.00","0.00","91.07"
"114/01/03","113","3","4737","華廣","1648491.00","3906488.00","5554979.00","1968218.00","1736679.00","3704897.00","611413.00","--","1110294.00","45584.00","73823.00","0.00","1841114.00","--","--","8968.00","1850082.00","--","24200.00","0.00","30.16"
